"Duree_Connexion","Octets_Source_Vers_Dest","Octets_Dest_Vers_Source","Taux_Paquets_Secondes","Fenetre_TCP_Moyenne","Ports_Dest_Distincts","Connexions_Simultanees","Taux_Erreur_CheckSum","Frequence_SYN_Flags","Statut_Menace"
4784.8,2544.61,2899.48,24.25,16384,2,4,8e-04,0.1342,"0"
51440.96,3839.03,2495.57,85.35,2048,0,9,0.0058,0.143,"0"
14178.47,1668.3,7066.81,132.71,65535,3,7,0.0167,0.0868,"0"
28836.07,2371.95,9205.95,42.69,16384,4,8,0.0482,0.1066,"0"
17581.84,2333.4,9236.76,81.16,8192,0,4,0.0484,0.0702,"0"
13660.25,5180.25,3618.83,145.11,8192,2,1,0.045,0.1973,"0"
36256.3,521.02,1529.5,25.21,4096,0,2,0.0412,0.0477,"0"
6948.76,6522.92,3514.27,106.87,2048,1,3,0.0277,0.0752,"0"
27241.1,13921.44,4773.95,106.99,1024,3,10,0.0303,0.0307,"0"
50650.06,96800.2,8652.83,347.64,65535,1,12,0.0415,0.8232,"2"
22168.64,1592.76,1469.46,98.76,16384,1,3,0.0492,0.0882,"0"
10238.83,2330.52,4544.03,134.26,1024,0,4,0.2322,0.1524,"3"
29067.5,1292.04,4400.96,73.57,16384,3,4,0.0384,0.1807,"0"
13294.01,2352.99,2728.35,44.58,16384,1,3,0.0479,0.0437,"0"
126023.15,855.51,269.36,68.14,2048,0,6,0.0339,0.0497,"0"
15121.12,1287.42,9786.14,127.37,4096,3,1,0.0175,0.1538,"0"
63902.98,644.1,18165.16,61.63,8192,0,2,0.007,0.0859,"0"
7245.37,1692.34,522.07,113.26,65535,3,2,0.0372,0.0366,"0"
150693.77,2424.22,2627.11,172.52,65535,74,1,0.0495,0.1532,"1"
85305.18,2387.7,1118.84,128.46,2048,1,5,0.0397,0.0039,"0"
24726.12,2757.54,4894.21,115.28,65535,3,7,0.3519,0.123,"3"
96620.14,5442.81,5628.6,143.29,65535,2,9,0.0258,0.033,"0"
120191.24,7492.59,196.88,20.13,8192,4,4,0.0355,0.0924,"0"
53465.24,2802.04,2417.06,120.13,65535,0,2,0.0237,0.1605,"0"
18310.86,6958.3,5329.67,137.14,1024,3,7,0.0394,0.0888,"0"
128265.85,1344.26,1795.29,11.17,2048,1,4,0.0202,0.1126,"0"
14821.73,3666.76,57.45,74.69,65535,2,10,0.002,0.1808,"0"
25004.28,2166.59,5521.44,23.77,4096,0,4,0.2345,0.1828,"3"
29703.69,2865.92,5276.3,142.21,1024,1,3,0.0231,0.1227,"0"
5873.56,1750.15,8033.63,15.24,4096,6,9,7e-04,0.1647,"0"
886.94,3040.93,5772.5,82.23,8192,0,5,0.0116,0.0058,"0"
6726.91,98213.27,6192.23,958.04,1024,4,7,0.0379,0.9212,"2"
146753.82,3528.31,2898.45,111.65,4096,3,3,0.0023,0.0799,"0"
51138.53,4503.91,6574.16,98.16,8192,3,1,0.027,0.0129,"0"
32780.97,3687.11,542.41,90.38,8192,3,5,0.0263,0.1271,"0"
146256.68,2515.88,5434.15,33.95,2048,1,7,0.0342,0.0469,"0"
3159.63,1285.29,888.98,22.41,8192,5,3,0.0295,0.1344,"0"
52585.47,2445.91,8787.88,88.4,16384,47,6,0.0203,0.0819,"1"
1848.92,3315.37,848.19,127.51,1024,5,4,0.0459,0.0201,"0"
13415.83,2533.28,617.27,114.01,16384,30,2,0.0153,0.1345,"1"
11053.68,1208.73,1764.5,16.3,4096,0,4,0.0054,0.0367,"0"
51190.78,13851.49,1404.73,281.13,16384,4,2,0.0222,0.7467,"2"
60227.3,2464,3779.68,132.22,4096,3,3,0.0034,0.0562,"0"
54941.74,3447.75,2133.72,87.42,16384,1,5,0.0394,0.0435,"0"
81086.45,6275.23,1681.12,141.29,65535,1,2,0.0469,0.0241,"0"
18076.7,437.25,3008.22,91.44,1024,0,5,0.0044,0.1981,"0"
12347.39,1632.19,3177.76,79.1,1024,2,2,0.1336,0.0553,"3"
20461.17,8722.36,2214.79,184.06,1024,130,6,0.0252,0.1585,"1"
136158.64,1387.82,3266.23,107.48,16384,2,2,0.0372,0.1012,"0"
9399.6,3283.4,6136.96,27.69,65535,1,4,0.0488,0.0674,"0"
8245,11216.14,3379.25,846.32,8192,3,2,0.0127,0.8586,"2"
6183.24,2396.91,417.08,123.64,4096,2,5,0.1763,0.1387,"3"
19899.58,3803.03,1093.51,44.05,2048,2,5,0.0207,0.0691,"0"
17009.48,66965.22,2130.55,771.42,2048,0,4,0.0192,0.7444,"2"
22107.01,5723.61,2018.83,87.16,4096,0,0,0.2805,0.126,"3"
10566.79,212.01,1338.68,106.74,16384,3,7,0.0356,0.0446,"0"
10281.07,3805.29,3057.08,147.62,1024,2,7,0.0203,0.1205,"0"
3897.99,26145.99,3170.67,291.52,16384,3,2,0.0022,0.9949,"2"
14365.32,84280.26,9379.63,789.54,1024,2,7,0.042,0.722,"2"
33794.34,420.1,850.16,51.42,1024,4,8,0.0086,0.0436,"0"
19438.59,950.4,3089.12,51.18,8192,0,4,0.0375,0.0781,"0"
43549.92,1363.16,5962.87,88.96,65535,181,9,0.0421,0.015,"1"
20634.42,2346.8,6210.87,135.21,4096,1,0,0.003,0.0275,"0"
38415.96,4912.02,6798.27,78.84,8192,6,2,0.0046,0.0843,"0"
20892.2,1210.72,3389.55,17.72,16384,0,7,0.0066,0.0328,"0"
93251.88,9273.69,2254.68,119.81,4096,2,1,0.0106,0.0926,"0"
169182.09,63285.83,2122.86,374.59,65535,1,4,0.0466,0.7542,"2"
21345.09,43139.18,818.56,397.54,65535,2,4,0.0447,0.9729,"2"
28984.8,2709.58,2187.36,47.82,65535,5,2,0.0077,0.0411,"0"
23855.62,4021.61,1655.22,41.96,1024,1,5,0.0442,0.0366,"0"
46838.87,4982.74,956.57,125.54,16384,0,5,0.0193,0.1235,"0"
48568.36,2969.02,6311.21,128.05,8192,0,3,0.0044,0.1125,"0"
24316.05,42149.43,2367.87,855.7,2048,3,3,0.0178,0.7371,"2"
5363.76,1976.76,3442.43,119.32,2048,2,6,0.012,0.129,"0"
68563.22,2019.3,3686.16,61.35,8192,4,5,0.0121,0.0614,"0"
1868.42,3761.17,909.34,97.4,8192,3,6,0.0374,0.0558,"0"
79839.97,6414.29,2953.76,18.12,16384,3,3,0.0438,0.0592,"0"
8796.85,10058.08,5034.58,17.66,16384,3,5,0.0021,0.1066,"0"
26287.58,1139.99,536.23,92.74,8192,3,5,0.0384,0.1676,"0"
16059.13,1985.57,1941.94,94.13,8192,3,4,0.0305,0.0096,"0"
23193.98,86259.62,523.98,755.27,65535,4,7,0.0452,0.9995,"2"
97271.39,1229.05,4875.17,115.59,8192,4,4,0.0463,0.0108,"0"
29793.43,5043.69,805.9,68.68,8192,3,7,0.0217,0.0661,"0"
70961.42,1996.39,873.14,219.96,8192,139,1,0.0163,0.104,"1"
10312.96,468.58,878.69,108.13,4096,149,4,0.0096,0.1555,"1"
48743.51,1475.42,7070.27,83.26,4096,6,2,0.037,0.0496,"0"
22675.3,4622.91,3880.58,77.53,8192,1,9,0.0136,0.1397,"0"
60258.19,397.39,5465.11,247.76,1024,94,3,0.0344,0.1951,"1"
49380.68,3380.88,1821.54,135.78,4096,0,6,0.0428,0.1268,"0"
28585.18,3623.15,5641.95,89.33,65535,6,4,0.0491,0.1447,"0"
55206.38,968.9,7287.11,27.09,2048,0,11,0.0068,0.082,"0"
39973.83,2448.72,6261.54,166.15,2048,50,7,0.0064,0.1265,"1"
28029.4,1069.59,5341.86,130.2,65535,2,6,0.042,0.1303,"0"
28060.61,4900.09,1335.51,33.29,1024,1,6,0.0196,0.0652,"0"
1282.95,5031.12,8638.3,95.74,2048,3,6,0.0436,0.1898,"0"
31139.86,2832.05,3876.85,20.74,1024,2,5,0.0322,0.0686,"0"
1472.49,2611.75,4146.79,256.57,2048,167,3,0.0307,0.106,"1"
93433.17,1753.27,1253.6,111.56,1024,1,6,0.0392,0.0222,"0"
2769.17,8060.35,2296.89,98.63,65535,2,6,0.004,0.1309,"0"
42872.85,6236.28,515.8,67.73,1024,1,2,0.0485,0.1575,"0"
60202.46,3943.32,3931.58,120.86,16384,2,5,0.0457,0.191,"0"
32748.8,999.82,5384.18,125.61,4096,121,5,0.0156,0.054,"1"
119568.99,1125.9,8326.49,127,2048,6,7,0.0098,0.0719,"0"
59653.43,3115.5,737.63,99.88,8192,5,7,0.0376,0.1445,"0"
47700.02,1659.67,7939.62,54.29,16384,1,5,0.0322,0.1652,"0"
44102.85,1463.57,3926.49,109.98,4096,3,6,0.0094,0.0759,"0"
21174.63,2517.29,1090.97,125.21,16384,3,4,0.0292,0.1637,"0"
96892.69,4243.8,2455.61,46.77,8192,1,6,0.0066,0.1415,"0"
20623.53,4190.68,2493.15,96.88,65535,1,4,0.298,0.1458,"3"
77860.02,4033.56,3426.91,86.55,2048,0,10,0.0323,0.0198,"0"
198668.29,3893.72,822.22,66.4,65535,6,6,0.0147,0.023,"0"
1769.39,1555.37,877.86,132.6,65535,1,3,0.0479,0.0809,"0"
5900.93,10606.78,4025.21,149.21,4096,6,6,0.0035,0.1264,"0"
57771.03,2271.91,17.58,136.67,16384,3,2,0.0433,0.0735,"0"
35803.81,45896.59,4009.6,776.08,2048,2,4,0.008,0.9727,"2"
27811.75,4258.96,3966.94,81.23,16384,1,6,0.0221,0.1383,"0"
134353.05,1451.84,13723.3,12.29,4096,3,3,0.0166,0.181,"0"
143378.02,5699.01,335.49,131.26,1024,65,8,0.0275,0.1035,"1"
113522.7,2355,5728.12,107.79,1024,0,5,0.0453,0.046,"0"
30226.77,1674.22,6978.66,1.01,65535,1,8,0.0131,0.074,"0"
14700.1,3900.71,2046.46,9.73,16384,1,6,0.0144,0.1638,"0"
11246.77,40595.68,6563.91,569.72,65535,1,16,0.0016,0.9775,"2"
53445.4,2793.3,2051.69,33.86,2048,2,3,0.0098,0.1096,"0"
39715.52,5808.65,1091.02,25.01,4096,2,8,0.0168,0.112,"0"
21898.6,2615.28,7453.08,130.57,65535,8,7,0.0494,0.0413,"0"
59625.67,831.55,4872.7,144.68,1024,1,3,0.0456,0.1995,"0"
59791.09,1597.96,1557.56,132.82,2048,2,6,0.0092,0.0643,"0"
22353.58,85957.09,5879.37,476.63,65535,1,5,0.0428,0.946,"2"
10729.99,4461.21,721.66,31.29,2048,3,7,0.0066,0.001,"0"
12295.93,7480.76,6312.15,122.21,1024,3,4,0.02,0.0292,"0"
3154.84,1779.79,3513.62,145.42,65535,1,4,0.0467,0.0474,"0"
290155.51,4369.81,6734.61,19.01,16384,1,5,0.0036,0.0101,"0"
32465.32,854.07,2995.96,104.8,1024,2,8,0.0305,0.0257,"0"
39359.15,2222.86,6493.02,233.16,2048,190,4,0.0398,0.1414,"1"
26633.57,1623.38,5223.69,128.93,4096,2,5,0.1236,0.173,"3"
1345.64,1903.51,4815.58,78.93,8192,1,7,0.0371,0.0771,"0"
98921.92,3348.92,3012.91,72.19,4096,2,7,0.0012,0.1743,"0"
5503.39,5177.15,4929.27,34.49,8192,4,7,0.0096,0.1918,"0"
155366.12,1887.23,1809.49,97.53,1024,2,6,0.0493,0.0999,"0"
9924.91,305.77,1603.35,25.33,65535,1,5,1e-04,0.1295,"0"
6919.21,4054.39,1944.16,9.16,2048,2,7,0.0246,0.1398,"0"
5662.02,19897.42,5064.33,842.56,16384,1,8,0.0433,0.9207,"2"
6485.57,1165.04,13485.92,81.12,65535,0,4,0.0138,0.1826,"0"
57221.75,1551.86,1320.57,79.82,2048,3,6,9e-04,0.1096,"0"
30719.11,2988.45,1784.28,123.11,65535,3,9,0.0492,0.0186,"0"
66731.16,2840.11,3922.92,213.44,4096,184,6,0.0247,0.1256,"1"
21358.86,1055.42,4539.43,148.55,8192,136,6,0.04,0.1853,"1"
21581.02,32473.07,1761.93,217.33,1024,3,7,0.0127,0.7985,"2"
9610.69,4032.01,1762.34,44.81,8192,1,5,0.0346,0.1798,"0"
19302.79,1729.07,6366.69,105.83,65535,4,2,0.0155,0.1413,"0"
8561.04,2446.2,2924.55,82.75,2048,3,5,0.1892,0.0483,"3"
16815.96,2049.96,4609.77,120.35,8192,4,7,0.0094,0.1413,"0"
24959.01,1035.83,4721.58,95.26,16384,2,8,0.2456,0.143,"3"
144490.46,11973.15,3814.71,604.59,4096,1,7,4e-04,0.8417,"2"
12796.98,38711.6,5684.44,424.57,2048,3,2,0.042,0.7912,"2"
24486.41,845.48,2066.88,20.21,16384,3,9,0.0468,0.1728,"0"
6107.82,4175.66,1002.82,143.79,4096,2,5,0.0188,0.0862,"0"
55201.54,1716.33,2798.11,123.5,65535,4,4,0.0339,0.1191,"0"
86995.46,4352.06,7786.17,1.96,2048,1,2,0.0425,0.1157,"0"
42303.66,623.86,1192.4,91.84,4096,1,4,0.0328,0.0645,"0"
63312.16,3159.24,1921.02,69.66,4096,2,4,0.0336,0.1436,"0"
91549.21,3105.71,3137.62,149.25,4096,2,2,0.0342,0.099,"0"
137461.71,76873.65,1069.17,216.15,16384,2,7,0.0144,0.8387,"2"
12064.41,1401.37,3582.52,129.73,16384,3,6,0.0239,0.0134,"0"
68314.83,1399.34,6591.7,4.95,8192,4,7,0.0236,0.0302,"0"
26982.83,546.91,740.95,95.67,2048,2,6,0.0033,0.1302,"0"
49641.32,669.03,610.7,111.97,2048,1,4,0.0307,0.0894,"0"
25823.26,8252.67,9064.63,114.14,2048,2,6,0.017,0.0635,"0"
51940.39,3283.91,6628.37,97.9,65535,2,4,0.0053,0.0594,"0"
28780.81,1858.05,2717.2,84.47,4096,4,8,0.308,0.0658,"3"
18151.43,5463.5,2245.89,99.41,4096,1,5,0.0204,0.0581,"0"
133491.18,2262.6,3093.64,8.85,65535,1,4,0.0188,0.0783,"0"
29697.31,4984.49,1823.41,135.98,8192,107,7,0.0058,0.0262,"1"
61505.22,1963.53,4964.04,147.87,8192,4,4,0.0407,0.0918,"0"
98415.13,2025.23,2409.76,133.9,65535,0,2,0.012,0.1224,"0"
110144.86,1039.16,14336.83,105.17,2048,1,8,0.026,0.1439,"0"
7423.89,5258.78,5050.94,59.76,2048,4,2,0.0353,0.1233,"0"
84751.5,3602.32,3309.64,71.14,8192,2,2,0.0051,0.1603,"0"
14961.43,4538.29,2639,33.31,65535,3,7,0.0149,0.0761,"0"
1173,138.69,6822.93,83.08,2048,1,11,0.0324,0.0199,"0"
45756.79,3089.42,2101.22,19.4,1024,1,6,0.0192,0.0734,"0"
46953.38,1750.9,800.01,90.85,2048,2,5,0.0229,0.1567,"0"
9507.13,1224.86,4513.34,9.94,2048,1,5,0.1953,0.1208,"3"
28607.45,2789.98,2491.95,30.34,4096,4,1,0.021,0.1105,"0"
5118.17,1158.5,3088.14,83.24,65535,2,3,0.0351,0.1788,"0"
45810.67,5880.41,1921.24,5.12,8192,1,8,0.0094,0.0864,"0"
103073.39,3452,466.02,112.54,1024,3,4,0.0395,0.0959,"0"
8182,2533.76,2908.13,100.3,8192,0,10,0.0253,0.1781,"0"
22678.95,967.66,5514.52,35.21,4096,1,5,0.3823,0.0865,"3"
184267.17,3750.63,4270.19,75.31,1024,2,3,0.0457,0.194,"0"
33415.31,1908.95,8411.9,44.75,16384,1,1,0.0057,0.0437,"0"
20278.84,4055.53,3304.8,122.51,16384,2,8,0.0255,0.0667,"0"
11555.59,1555.68,7625.46,68.02,16384,2,3,0.0236,0.1911,"0"
110820.24,2024.28,4028.56,62.74,8192,0,1,0.0429,0.1059,"0"
57624.23,54333.1,6777.96,761.47,2048,2,4,0.0456,0.8951,"2"
20206.03,60894.03,2240.03,940.2,16384,4,5,0.0154,0.7567,"2"
31552.29,2543.84,3358.26,1.16,2048,1,6,0.0281,0.0084,"0"
91705.72,2711.33,1234.51,122.64,8192,1,3,0.0139,0.0508,"0"
107439.11,4778.57,715.12,129.97,1024,3,2,0.0268,0.1289,"0"
13609.95,1672.87,5421.54,144.23,1024,1,3,0.0454,0.0808,"0"
71267.07,222.78,751.07,68.62,65535,2,4,0.0018,0.1359,"0"
45456.05,1177.72,5942.57,101.12,4096,93,3,0.0071,0.0424,"1"
41961.65,1209.98,4321.71,64.14,4096,3,3,0.0412,0.1791,"0"
12598.28,4652.21,1359.37,93.89,1024,3,9,0.0194,0.0507,"0"
56482.7,1724.65,6877.83,0.74,16384,2,6,0.0122,0.0525,"0"
36864.86,1305.99,3840.39,21.42,65535,2,7,0.0263,0.0807,"0"
97106.45,1915.49,4765.65,111.96,65535,5,2,0.038,0.0501,"0"
105625.85,6426.24,257.06,46.42,65535,7,1,0.0206,0.1979,"0"
7233.58,3046.75,844.1,121.19,16384,79,3,0.0412,0.1188,"1"
6747.02,1299.63,8057.34,96.62,4096,2,3,0.0412,0.0779,"0"
12.17,1467.95,2567.15,43.2,1024,4,6,0.0246,0.1113,"0"
1216.15,2818.4,2233.03,29.74,1024,1,7,0.0442,0.1643,"0"
15620.72,1504.87,1160.02,90.11,1024,6,6,0.0354,0.1683,"0"
32663.08,2730.84,1494.81,129.07,1024,2,8,0.0036,0.0519,"0"
5544.77,327.68,7111.26,81.83,65535,1,10,0.001,0.0164,"0"
79661.95,6249.56,4433.79,42.86,1024,3,4,0.0452,0.1943,"0"
36173.36,5926.5,2304.26,100.22,65535,3,5,0.0416,0.0894,"0"
4325.01,1231.47,2098.39,119.01,2048,2,5,0.0204,0.1914,"0"
126501.24,2217.39,145.64,127.26,2048,2,5,0.01,0.1849,"0"
3964.84,5759.13,2549.02,137.31,1024,4,4,0.0195,0.1953,"0"
19331.23,1986.54,2417.96,2.87,1024,1,2,0.0093,0.1564,"0"
21122.02,1297.19,1699.99,104.91,2048,1,5,0.0371,0.1026,"0"
13927.02,1601.63,1751.84,64.2,65535,2,6,0.0242,0.1012,"0"
25143.27,2023.74,5048.6,92.73,1024,2,6,0.0047,0.1889,"0"
11040.96,1042.06,2640.3,189.87,8192,106,4,0.0268,0.0149,"1"
111931.64,439.74,1926.35,128.36,65535,2,5,0.0426,0.0877,"0"
34767.45,1142.1,1923.94,96.76,65535,2,5,0.0046,0.1978,"0"
53283.13,2838.85,6754.16,204.01,1024,112,5,0.0148,0.0445,"1"
23676.03,333.36,1579.04,18.95,1024,2,7,0.0379,0.0731,"0"
62532.71,3210.07,9900.82,274.77,2048,42,7,0.043,0.0148,"1"
17985.85,708.11,7886.62,67.02,65535,3,4,0.0348,0.008,"0"
81994.77,1996.34,3766.2,126.27,4096,1,5,0.0099,0.1485,"0"
40776.23,3665.37,2780.86,29.68,2048,0,5,0.0336,0.0619,"0"
37041.83,37198.72,2852.43,776.3,8192,0,6,0.0193,0.8009,"2"
7246.13,1800.59,589.86,5.08,65535,3,4,0.0499,0.1647,"0"
67241.6,91997.94,4133.4,820.02,8192,2,6,0.0147,0.8329,"2"
8039.03,2391.57,3141.03,110.15,2048,164,4,0.0477,0.098,"1"
1007.07,3768.93,195.52,68.44,2048,0,3,0.0185,0.0205,"0"
1210.49,4249.39,2098.29,130.17,4096,1,5,0.025,0.0799,"0"
31553.48,36607.86,4288.41,764.64,1024,7,6,0.0174,0.8869,"2"
9465.66,1805.27,7984.87,86.62,1024,0,4,0.0164,0.0216,"0"
37319.05,3929.22,4330.47,25.99,16384,1,10,0.006,0.0016,"0"
11217.46,557.34,4274.82,115.66,8192,2,7,0.018,0.1945,"0"
6446.16,1622.17,8749.51,10.8,2048,1,6,0.0204,0.0624,"0"
227301.27,94014.74,2062.85,745.66,2048,2,7,0.0493,0.7375,"2"
2859.49,1207.35,4057.85,35.36,65535,1,6,0.0278,0.0029,"0"
211949.01,3073.49,893.54,108.13,1024,3,6,0.0411,0.1061,"0"
4480.91,1451,3747.22,59.13,16384,3,2,0.0495,0.1645,"0"
84535.16,3070.42,3586.89,40.87,65535,2,4,0.0272,0.0226,"0"
31616.54,2860.15,3879.07,26.12,16384,0,3,0.0483,0.1444,"0"
200847.48,2827.25,2446.1,23.17,1024,2,7,0.0149,0.1002,"0"
14190.84,6343.03,1204.98,44.24,4096,3,4,0.176,0.0134,"3"
60078.81,11047.66,2141.54,78.69,16384,4,6,0.0242,0.0125,"0"
58561.82,62049.4,4932.9,254.43,4096,1,6,0.017,0.739,"2"
12002.74,3504.28,7189.79,102.13,8192,6,5,0.1783,0.1397,"3"
22840.82,2504.79,10519.19,134.08,16384,6,5,0.0463,0.0259,"0"
28867.77,60430.67,1432.5,328.7,2048,3,5,0.0049,0.7796,"2"
10498.44,1372.05,7018.32,136.28,16384,1,3,0.0341,0.0189,"0"
85319.28,3483.54,12950.2,122.49,4096,4,4,8e-04,0.1988,"0"
42912.11,1934.23,2475.13,23.03,4096,2,4,0.0488,0.173,"0"
25527.86,1075.53,1112.08,107.59,65535,1,5,0.0194,0.1163,"0"
10993.07,989.42,2495.16,133.42,2048,161,6,0.0022,0.15,"1"
22126.26,2288.46,547.6,138.79,2048,4,8,0.0159,0.0606,"0"
6421.24,91934.1,632.01,613.61,2048,3,8,5e-04,0.7644,"2"
97664.71,3921.39,5216.49,20.64,65535,1,4,0.018,1e-04,"0"
5083.03,809.56,2318.01,97.89,1024,1,4,0.0023,0.0174,"0"
49446.24,7084.55,4531.58,16.21,16384,1,5,0,0.134,"0"
15114.96,4047.12,494.85,146.83,2048,1,3,0.0342,0.0684,"0"
18470.74,2044.38,10038.08,145.63,1024,4,4,0.0151,0.0907,"0"
42838.51,1376.01,4186.9,32.75,1024,3,7,0.0325,0.1644,"0"
18245.79,3650.53,3192.42,138.28,8192,0,5,0.0466,0.1804,"0"
129946.9,3614.73,2157.38,36.82,65535,2,3,0.0214,0.0358,"0"
16263.45,3466.52,9756.87,98.98,2048,0,10,0.018,0.1623,"0"
2781.47,5247.93,1692.18,71.19,65535,2,7,0.0055,0.0766,"0"
30524.29,4104.07,1787.61,76.13,16384,1,5,0.0417,0.122,"0"
3947.72,1305.77,6298.11,299.43,65535,126,4,0.0293,0.1116,"1"
92667.28,404.83,1212.55,103.77,1024,1,4,0.0234,0.0863,"0"
60966.68,1226.6,8807.83,19.84,1024,4,4,0.0257,0.0701,"0"
2471.2,1146.01,13662.98,46.52,65535,2,5,0.0015,0.0595,"0"
13114.3,2409.4,1815.27,130.69,1024,5,5,6e-04,0.1386,"0"
65701.6,571.33,3619.59,81.7,2048,1,8,0.022,0.1517,"0"
32536.68,91919.89,1688.67,685.38,16384,5,6,0.0378,0.8423,"2"
247628.09,745.76,3537.06,42.06,16384,3,3,0.0107,0.1712,"0"
21681.13,4580.15,4175.02,113.94,65535,3,8,0.0031,0.0854,"0"
60698.18,1358.89,1249.76,19.34,2048,1,6,0.0069,0.0634,"0"
64649.92,1075.96,907.89,69.68,1024,1,2,0.0404,0.1687,"0"
55634.31,479.81,3900.48,22.56,65535,1,6,0.0163,0.1265,"0"
28307.15,3038.31,1787.41,76.99,4096,2,4,0.0362,0.0381,"0"
15649.33,2522.93,7250.17,57.63,65535,1,9,0.1325,0.0106,"3"
14103.01,2773.09,870.16,26.22,1024,2,3,0.017,0.0649,"0"
6870.74,3087.5,2104.29,168.35,65535,76,5,0.0037,0.1561,"1"
27536.31,6480.86,6187.52,87.68,1024,1,7,0.1395,0.0987,"3"
12430.2,1835.69,6322.41,65.11,1024,5,8,0.0491,0.1831,"0"
7444.91,1090.24,1177.79,120.45,65535,2,4,0.0404,0.0397,"0"
50940.57,2233.53,2672.45,87.4,2048,2,4,0.0255,0.045,"0"
4537.04,1385.02,1137.2,27.86,1024,3,6,0.0026,0.1908,"0"
NA,2949.22,3837.66,53.27,8192,2,4,0.0207,0.1806,"0"
44124.59,1348.02,423.98,108.42,16384,4,6,0.0465,0.0918,"0"
19953.08,3382.23,532.92,11.41,2048,1,3,0.0463,0.1432,"0"
17044.54,3323.26,4013.54,125.61,65535,3,7,0.0386,0.1509,"0"
19385.48,3459.83,13561.96,88.9,4096,2,1,0.0445,0.0839,"0"
25779.8,3761.76,3932.88,132.72,65535,2,2,0.0105,0.1421,"0"
58723.24,67645.05,4787.9,869.74,8192,2,1,0.0348,0.8146,"2"
959.71,4519.59,684.69,57.05,16384,2,4,0.0199,0.1924,"0"
657.58,1351.06,2689.48,73.96,1024,1,5,0.0113,0.036,"0"
47860.06,3007.35,4328.88,15.15,4096,1,7,0.0149,0.1422,"0"
67952.15,28158.06,6183.4,485.22,65535,5,5,0.011,0.7223,"2"
19275.33,2291.74,990.78,177.83,2048,20,3,0.0053,0.1734,"1"
51880.71,1171.85,2828.12,2.3,4096,3,6,0.0176,0.1719,"0"
55004.69,2394.83,4143.87,137.11,1024,2,6,0.049,0.0712,"0"
83860.59,1374.34,4246.88,94.67,1024,1,3,0.0349,0.133,"0"
12251.54,8460.47,1390.9,138.87,1024,6,6,0.017,0.0495,"0"
39590.04,3250.48,6322.76,134.23,65535,0,4,0.0324,0.1294,"0"
33709.17,3258.88,526.34,105.17,4096,2,5,0.0418,0.0797,"0"
86527.27,2264.27,5968.91,53.14,1024,2,5,0.0494,0.1132,"0"
101430.93,3459.82,886.35,100.7,4096,1,3,0.0113,0.0981,"0"
967.98,3605,1105.36,118.33,16384,4,8,0.0265,0.0727,"0"
21308.75,4352.46,7837.48,98.33,4096,3,6,0.0092,0.0205,"0"
4771.76,3560.96,549.49,25.91,16384,0,3,0.0241,0.1189,"0"
227759.93,1630.85,6327.64,20.73,2048,2,5,0.0346,0.0802,"0"
26637.28,4926.85,876.65,66.76,2048,4,2,0.043,0.1583,"0"
79942.63,8658.25,6348.28,121.75,8192,3,4,0.003,9e-04,"0"
142912.87,2681.33,6706.71,8.73,1024,3,4,0.0281,0.0146,"0"
23434.26,1779.96,724.18,29.94,65535,3,5,0.0459,0.1471,"0"
29977.57,4649.47,2061.74,80.3,1024,2,8,0.0309,0.0614,"0"
35819.88,82330.69,1393.09,212.1,2048,4,4,0.0354,0.8832,"2"
66667.63,3954.42,3696.66,167.02,65535,81,4,0.0031,0.1909,"1"
56855.85,800.44,6441.72,73.13,1024,118,7,0.0457,0.1093,"1"
30742.55,2213.07,1206.79,124.38,2048,3,3,0.0089,0.1181,"0"
22601.11,940.3,7113.97,92.36,1024,0,5,0.0303,0.0985,"0"
5397.7,1203.2,2873.56,58.93,4096,2,6,0.0225,0.1943,"0"
3908.05,1892.63,10367.6,69.78,2048,1,2,0.0267,0.0443,"0"
95625.94,2406.79,1316.51,114.11,4096,4,4,0.0178,0.0157,"0"
27339.08,2544.4,5035.6,97.61,16384,6,6,0.046,0.1245,"0"
275183.33,76013.26,7185.28,798.33,16384,2,9,0.0132,0.892,"2"
16202.89,31775.52,1729.01,957.96,2048,2,3,0.0498,0.9926,"2"
50961.28,82366.89,2505.54,346.06,8192,0,5,0.0406,0.9769,"2"
105517.29,7352.35,5839.64,143.88,8192,4,2,0.0496,0.1757,"0"
161068.99,1913.6,2431.13,64.7,2048,4,9,0.0427,0.1326,"0"
36941.75,1375.79,3528.46,58.64,16384,2,1,0.048,0.162,"0"
70339.61,5530.23,2406.43,124.38,1024,2,9,0.0171,0.1452,"0"
198314.03,2974.1,7644.78,58.14,16384,1,5,0.0292,0.1197,"0"
124923.49,1170.16,3125.97,136.32,2048,30,3,0.0079,0.1214,"1"
40241.06,1327.61,2139.93,27.53,2048,3,6,0.0045,0.1167,"0"
53386.88,125.44,326.89,87.76,1024,1,4,0.0457,0.154,"0"
44804.01,22559.71,2465.6,377.3,4096,2,8,0.0303,0.7266,"2"
5032.27,596.37,7535.97,69.97,65535,1,5,0.0375,0.0147,"0"
118036.31,1987.88,4871.55,74.9,1024,2,5,0.0135,0.1401,"0"
41854.88,4729.39,635.9,124.56,4096,0,6,0.0254,0.0111,"0"
51852.65,96893.7,8606.82,933.39,1024,1,3,0.0388,0.7387,"2"
145741.49,97266.48,1062.76,757.19,16384,1,4,0.0277,0.9967,"2"
